گروه,رتبه,نام_استراتژی,تعداد_تکرار,تعداد_سود,تعداد_ضرر,وین‌ریت_(%),میانگین_بازده_(%),بازه_زمانی_شروع,بازه_زمانی_پایان,تعداد_روز_فعال,تعداد_روز_کل_بازه
BTCUSDT_Core PPI m/m_post_5.0_simple_hybrid_newyork_trending_down_CPI_y_y,1,B4Touch_TLpP5-mT3-pR001_LadLine_BufOn_1h (BTCUSDT),1,1,0,100.0,0.98,2019-03-13,2019-03-17,5,5
BTCUSDT_Core PPI m/m_post_5.0_simple_hybrid_newyork_trending_down_CoreCPI,1,B4Touch_TLpP5-mT3-pR001_LadLine_BufOn_1h (BTCUSDT),1,1,0,100.0,0.98,2019-03-13,2019-03-17,5,5
BTCUSDT_Core PPI m/m_post_5.0_simple_hybrid_none_trending_down_CPI,1,B4Touch_TLpP5-mT3-pR001_LadFib_BufOff_1h (BTCUSDT),1,1,0,100.0,0.5871428571428571,2019-03-13,2019-03-17,5,5
BTCUSDT_Core PPI m/m_post_5.0_simple_hybrid_none_trending_down_CoreCPI,1,B4Touch_TLpP5-mT3-pR001_LadFib_BufOff_1h (BTCUSDT),1,1,0,100.0,0.5871428571428571,2019-03-13,2019-03-17,5,5
BTCUSDT_None_post_5.0_simple_hybrid_asia_tokyo_trending_down_CorePPI,1,B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_30m (BTCUSDT),1,1,0,100.0,0.76,2019-03-14,2019-03-18,5,5
BTCUSDT_None_post_5.0_simple_hybrid_asia_tokyo_trending_down_PPI,1,B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_30m (BTCUSDT),1,1,0,100.0,0.76,2019-03-14,2019-03-18,5,5
BTCUSDT_None_post_5.0_simple_hybrid_london_ny_overlap_trending_down_CorePPI,1,B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_1h (BTCUSDT),1,1,0,100.0,0.74,2019-03-14,2019-03-18,5,5
BTCUSDT_None_post_5.0_simple_hybrid_london_ny_overlap_trending_down_PPI,1,B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_1h (BTCUSDT),1,1,0,100.0,0.74,2019-03-14,2019-03-18,5,5
BTCUSDT_None_post_5.0_simple_hybrid_newyork_trending_down_CorePPI,1,B4Touch_TLpP5-mT3-pR001_LadLine_BufOn_1h (BTCUSDT),1,1,0,100.0,0.98,2019-03-14,2019-03-18,5,5
BTCUSDT_None_post_5.0_simple_hybrid_newyork_trending_down_PPI,1,B4Touch_TLpP5-mT3-pR001_LadLine_BufOn_1h (BTCUSDT),1,1,0,100.0,0.98,2019-03-14,2019-03-18,5,5
BTCUSDT_None_post_5.0_simple_hybrid_none_trending_down_PPI,1,B4Touch_TLpP5-mT3-pR001_LadFib_BufOff_1h (BTCUSDT),1,1,0,100.0,0.5871428571428571,2019-03-14,2019-03-18,5,5
BTCUSDT_PPI m/m_post_10.0_simple_hybrid_newyork_trending_down_CPI,1,B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadFib_BufOff_15m (BTCUSDT),1,1,0,100.0,0.5,2023-01-13,2023-01-22,10,10
BTCUSDT_PPI m/m_post_10.0_simple_hybrid_newyork_trending_down_CPI_y_y,1,B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadFib_BufOff_15m (BTCUSDT),1,1,0,100.0,0.5,2023-01-13,2023-01-22,10,10
BTCUSDT_PPI m/m_post_10.0_simple_hybrid_newyork_trending_down_CoreCPI,1,B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadFib_BufOff_15m (BTCUSDT),1,1,0,100.0,0.5,2023-01-13,2023-01-22,10,10
ETHUSDT+PAXGUSDT_CPI m/m_post_5.0_simple_hybrid_none_unknown_CorePPI,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOff_30m (ETHUSDT+PAXGUSDT),1,1,0,100.0,0.63,2018-04-11,2018-04-15,5,5
ETHUSDT+PAXGUSDT_CPI m/m_post_5.0_simple_hybrid_none_unknown_PPI,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOff_30m (ETHUSDT+PAXGUSDT),1,1,0,100.0,0.63,2018-04-11,2018-04-15,5,5
ETHUSDT_CPI y/y_post_5.0_simple_hybrid_london_ny_overlap_trending_down_CorePPI,1,B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_30m (ETHUSDT),1,1,0,100.0,0.55,2022-12-10,2022-12-14,5,5
ETHUSDT_None_post_5.0_simple_hybrid_london_ny_overlap_trending_down_CPI_y_y,1,B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_30m (ETHUSDT),1,1,0,100.0,0.55,2022-12-14,2022-12-18,5,5
ETHUSDT_None_post_5.0_simple_hybrid_london_ny_overlap_trending_down_FOMC,1,B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_30m (ETHUSDT),1,1,0,100.0,0.55,2016-09-22,2016-09-26,5,5
ETHUSDT_None_pre_5.0_simple_hybrid_london_ny_overlap_trending_down_FOMC,1,B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_30m (ETHUSDT),1,1,0,100.0,0.55,2023-03-17,2023-03-21,5,5
PAXGUSDT+SOLUSDT+XRPUSDT_PPI m/m_post_5.0_simple_hybrid_none_volatile_CPI,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_1h (PAXGUSDT+SOLUSDT+XRPUSDT),1,1,0,100.0,0.63,2025-04-11,2025-04-15,5,5
PAXGUSDT+SOLUSDT+XRPUSDT_PPI m/m_post_5.0_simple_hybrid_none_volatile_CPI_y_y,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_1h (PAXGUSDT+SOLUSDT+XRPUSDT),1,1,0,100.0,0.63,2025-04-11,2025-04-15,5,5
PAXGUSDT+SOLUSDT+XRPUSDT_PPI m/m_post_5.0_simple_hybrid_none_volatile_CoreCPI,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_1h (PAXGUSDT+SOLUSDT+XRPUSDT),1,1,0,100.0,0.63,2025-04-11,2025-04-15,5,5
PAXGUSDT+SOLUSDT_FOMC_5_0_simple_hybrid_none_trending_up_fixed,1,B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadLine_BufOff_1h (PAXGUSDT+SOLUSDT),1,1,0,100.0,0.63,2024-09-16,2024-09-20,5,5
SOLUSDT_Core CPI m/m_post_10.0_simple_hybrid_london_ny_overlap_unknown_CorePPI,1,B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadLine_BufOn_5m (SOLUSDT),2,2,0,100.0,0.7149999999999995,2020-08-12,2020-09-20,20,40
SOLUSDT_Core CPI m/m_post_10.0_simple_hybrid_london_ny_overlap_unknown_PPI,1,B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadLine_BufOn_5m (SOLUSDT),2,2,0,100.0,0.7149999999999995,2020-08-12,2020-09-20,20,40
SOLUSDT_Core CPI m/m_post_5.0_simple_hybrid_london_ny_overlap_unknown_CorePPI,1,B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadLine_BufOn_5m (SOLUSDT),2,2,0,100.0,1.4299999999999995,2020-08-12,2020-09-15,10,35
SOLUSDT_Core CPI m/m_post_5.0_simple_hybrid_london_ny_overlap_unknown_PPI,1,B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadLine_BufOn_5m (SOLUSDT),2,2,0,100.0,1.4299999999999995,2020-08-12,2020-09-15,10,35
SOLUSDT_Core CPI m/m_post_5.0_simple_hybrid_none_unknown_CorePPI,1,B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadLine_BufOn_30m (SOLUSDT),2,2,0,100.0,0.8016666666666661,2020-08-12,2020-09-15,10,35
SOLUSDT_Core CPI m/m_post_5.0_simple_hybrid_none_unknown_PPI,1,B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadLine_BufOn_30m (SOLUSDT),2,2,0,100.0,0.8016666666666661,2020-08-12,2020-09-15,10,35
SOLUSDT_Core PPI m/m_10_0_simple_hybrid_none_unknown_fixed,1,B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadLine_BufOn_30m (SOLUSDT),2,2,0,100.0,0.6291666666666664,2020-09-02,2020-10-21,20,50
SOLUSDT_Core PPI m/m_5_0_simple_hybrid_london_ny_overlap_unknown_fixed,1,B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadLine_BufOn_5m (SOLUSDT),2,2,0,100.0,1.4799999999999995,2020-09-07,2021-02-18,10,165
SOLUSDT_Core PPI m/m_5_0_simple_hybrid_newyork_unknown_fixed,1,B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadLine_BufOff_1h (SOLUSDT),2,2,0,100.0,1.00547619047619,2020-09-07,2021-02-18,10,165
SOLUSDT_Core PPI m/m_5_0_simple_hybrid_none_unknown_fixed,1,B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadLine_BufOn_30m (SOLUSDT),2,2,0,100.0,1.2583333333333329,2020-09-07,2020-10-16,10,40
SOLUSDT_None_post_10.0_simple_hybrid_london_ny_overlap_unknown_CPI,1,B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadLine_BufOn_5m (SOLUSDT),2,2,0,100.0,0.7149999999999995,2020-08-13,2020-09-21,20,40
SOLUSDT_None_post_10.0_simple_hybrid_london_ny_overlap_unknown_CPI_y_y,1,B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadLine_BufOn_5m (SOLUSDT),2,2,0,100.0,0.7149999999999995,2020-08-13,2020-09-21,20,40
SOLUSDT_None_post_10.0_simple_hybrid_london_ny_overlap_unknown_CoreCPI,1,B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadLine_BufOn_5m (SOLUSDT),2,2,0,100.0,0.7149999999999995,2020-08-13,2020-09-21,20,40
SOLUSDT_None_post_5.0_simple_hybrid_london_ny_overlap_unknown_CPI,1,B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadLine_BufOn_5m (SOLUSDT),3,3,0,100.0,1.0466666666666662,2020-08-13,2021-02-15,15,187
SOLUSDT_None_post_5.0_simple_hybrid_london_ny_overlap_unknown_CPI_y_y,1,B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadLine_BufOn_5m (SOLUSDT),3,3,0,100.0,1.0466666666666662,2020-08-13,2021-02-15,15,187
SOLUSDT_None_post_5.0_simple_hybrid_london_ny_overlap_unknown_CoreCPI,1,B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadLine_BufOn_5m (SOLUSDT),3,3,0,100.0,1.0466666666666662,2020-08-13,2021-02-15,15,187
SOLUSDT_None_post_5.0_simple_hybrid_newyork_unknown_CPI_y_y,1,B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadLine_BufOn_30m (SOLUSDT),3,3,0,100.0,0.6063333333333327,2020-08-13,2021-02-15,15,187
SOLUSDT_None_post_5.0_simple_hybrid_none_unknown_CPI,1,B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadLine_BufOn_30m (SOLUSDT),2,2,0,100.0,0.8016666666666661,2020-08-13,2020-09-16,10,35
SOLUSDT_None_post_5.0_simple_hybrid_none_unknown_CPI_y_y,1,B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadLine_BufOn_30m (SOLUSDT),2,2,0,100.0,0.8016666666666661,2020-08-13,2020-09-16,10,35
SOLUSDT_None_post_5.0_simple_hybrid_none_unknown_CoreCPI,1,B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadLine_BufOn_30m (SOLUSDT),2,2,0,100.0,0.8016666666666661,2020-08-13,2020-09-16,10,35
XRPUSDT_None_post_5.0_simple_hybrid_london_ny_overlap_unknown_CorePPI,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m (XRPUSDT),1,1,0,100.0,0.68,2018-06-14,2018-06-18,5,5
XRPUSDT_None_post_5.0_simple_hybrid_london_ny_overlap_unknown_PPI,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m (XRPUSDT),1,1,0,100.0,0.68,2018-06-14,2018-06-18,5,5
XRPUSDT_PPI m/m_5_0_simple_hybrid_none_volatile_fixed,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (XRPUSDT),2,2,0,100.0,0.55,2021-03-11,2024-06-17,10,1195
XRPUSDT_PPI m/m_post_5.0_simple_hybrid_london_ny_overlap_unknown_CPI,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m (XRPUSDT),1,1,0,100.0,0.68,2018-06-13,2018-06-17,5,5
XRPUSDT_PPI m/m_post_5.0_simple_hybrid_london_ny_overlap_unknown_CPI_y_y,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m (XRPUSDT),1,1,0,100.0,0.68,2018-06-13,2018-06-17,5,5
XRPUSDT_PPI m/m_post_5.0_simple_hybrid_london_ny_overlap_unknown_CoreCPI,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m (XRPUSDT),1,1,0,100.0,0.68,2018-06-13,2018-06-17,5,5
XRPUSDT_nan_pre_5.0_simple_hybrid_london_volatile_FOMC,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_5m (XRPUSDT),3,2,1,66.66666666666666,0.5358333333333333,2023-03-17,2023-09-19,15,187
XRPUSDT_nan_pre_5.0_simple_hybrid_london_volatile_FOMC,2,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOff_5m (XRPUSDT),3,2,1,66.66666666666666,0.5125000000000001,2023-03-17,2023-09-19,15,187
