strategy_id,coin_composition,signature_path,signature,score,sample_count,version_id,calculated_at,archive_path
B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m,BTCUSDT,combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m/BTCUSDT/CPI_post_5d_simple_hybrid_london_ny_overlap.jsonl,BTCUSDT__post_5.0_simple_hybrid_london_ny_overlap_volatile_CPI,44.2125,88,v1.0.0,2026-09-10 10:37:59.427983+00:00,signature_archives/combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m_run34444752485.tar.gz.enc
B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m,BTCUSDT,combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m/BTCUSDT/CPI_y_y_post_5d_simple_hybrid_london_ny_overlap.jsonl,BTCUSDT__post_5.0_simple_hybrid_london_ny_overlap_volatile_CPI_y_y,44.0855,89,v1.0.0,2026-09-10 10:37:59.427983+00:00,signature_archives/combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m_run34444752485.tar.gz.enc
B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m,BTCUSDT,combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m/BTCUSDT/CoreCPI_post_5d_simple_hybrid_london_ny_overlap.jsonl,BTCUSDT__post_5.0_simple_hybrid_london_ny_overlap_volatile_CoreCPI,44.2125,88,v1.0.0,2026-09-10 10:37:59.427983+00:00,signature_archives/combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m_run34444752485.tar.gz.enc
B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m,BTCUSDT,combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m/BTCUSDT/CorePPI_post_5d_simple_hybrid_london_ny_overlap.jsonl,BTCUSDT__post_5.0_simple_hybrid_london_ny_overlap_volatile_CorePPI,45.2072,88,v1.0.0,2026-09-10 10:37:59.427983+00:00,signature_archives/combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m_run34444752485.tar.gz.enc
B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m,BTCUSDT,combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m/BTCUSDT/FOMC_post_5d_simple_hybrid_london_ny_overlap.jsonl,BTCUSDT__post_5.0_simple_hybrid_london_ny_overlap_volatile_FOMC,43.1217,64,v1.0.0,2026-09-10 10:37:59.427983+00:00,signature_archives/combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m_run34444752485.tar.gz.enc
B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m,BTCUSDT,combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m/BTCUSDT/PPI_post_5d_simple_hybrid_london_ny_overlap.jsonl,BTCUSDT__post_5.0_simple_hybrid_london_ny_overlap_volatile_PPI,45.2072,88,v1.0.0,2026-09-10 10:37:59.427983+00:00,signature_archives/combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m_run34444752485.tar.gz.enc
B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m,BTCUSDT,combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m/BTCUSDT/CPI_post_5d_simple_hybrid_newyork.jsonl,BTCUSDT__post_5.0_simple_hybrid_newyork_volatile_CPI,40.677,90,v1.0.0,2026-09-10 10:37:59.427983+00:00,signature_archives/combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m_run34444752485.tar.gz.enc
B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m,BTCUSDT,combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m/BTCUSDT/CPI_y_y_post_5d_simple_hybrid_newyork.jsonl,BTCUSDT__post_5.0_simple_hybrid_newyork_volatile_CPI_y_y,42.0336,91,v1.0.0,2026-09-10 10:37:59.427983+00:00,signature_archives/combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m_run34444752485.tar.gz.enc
B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m,BTCUSDT,combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m/BTCUSDT/CPI_post_5d_simple_hybrid_asia_tokyo.jsonl,BTCUSDT__post_5.0_simple_hybrid_asia_tokyo_volatile_CPI,49.8072,57,v1.0.0,2026-09-10 10:37:59.427983+00:00,signature_archives/combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m_run34465642360.tar.gz.enc
B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m,BTCUSDT,combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m/BTCUSDT/CPI_y_y_post_5d_simple_hybrid_asia_tokyo.jsonl,BTCUSDT__post_5.0_simple_hybrid_asia_tokyo_volatile_CPI_y_y,49.6493,57,v1.0.0,2026-09-10 10:37:59.427983+00:00,signature_archives/combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m_run34465642360.tar.gz.enc
B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m,BTCUSDT,combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m/BTCUSDT/CoreCPI_post_5d_simple_hybrid_asia_tokyo.jsonl,BTCUSDT__post_5.0_simple_hybrid_asia_tokyo_volatile_CoreCPI,49.8072,57,v1.0.0,2026-09-10 10:37:59.427983+00:00,signature_archives/combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m_run34465642360.tar.gz.enc
B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m,BTCUSDT,combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m/BTCUSDT/CorePPI_post_5d_simple_hybrid_asia_tokyo.jsonl,BTCUSDT__post_5.0_simple_hybrid_asia_tokyo_volatile_CorePPI,49.823,57,v1.0.0,2026-09-10 10:37:59.427983+00:00,signature_archives/combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m_run34465642360.tar.gz.enc
B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m,BTCUSDT,combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m/BTCUSDT/FOMC_post_5d_simple_hybrid_asia_tokyo.jsonl,BTCUSDT__post_5.0_simple_hybrid_asia_tokyo_volatile_FOMC,51.4191,50,v1.0.0,2026-09-10 10:37:59.427983+00:00,signature_archives/combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m_run34465642360.tar.gz.enc
B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m,BTCUSDT,combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m/BTCUSDT/PPI_post_5d_simple_hybrid_asia_tokyo.jsonl,BTCUSDT__post_5.0_simple_hybrid_asia_tokyo_volatile_PPI,49.823,57,v1.0.0,2026-09-10 10:37:59.427983+00:00,signature_archives/combo_10day/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m/B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m_run34465642360.tar.gz.enc
B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m,BTCUSDT,combo_10day/B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m/BTCUSDT/CPI_post_5d_simple_hybrid.jsonl,BTCUSDT__post_5.0_simple_hybrid_none_volatile_CPI,60.2941,50,v1.0.0,2026-09-10 10:37:59.427983+00:00,signature_archives/combo_10day/B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m/B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m_run34424995310.tar.gz.enc
B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m,BTCUSDT,combo_10day/B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m/BTCUSDT/CPI_y_y_post_5d_simple_hybrid.jsonl,BTCUSDT__post_5.0_simple_hybrid_none_volatile_CPI_y_y,60.1204,50,v1.0.0,2026-09-10 10:37:59.427983+00:00,signature_archives/combo_10day/B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m/B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m_run34424995310.tar.gz.enc
B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m,BTCUSDT,combo_10day/B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m/BTCUSDT/CoreCPI_post_5d_simple_hybrid.jsonl,BTCUSDT__post_5.0_simple_hybrid_none_volatile_CoreCPI,60.2941,50,v1.0.0,2026-09-10 10:37:59.427983+00:00,signature_archives/combo_10day/B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m/B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m_run34424995310.tar.gz.enc
B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m,BTCUSDT,combo_10day/B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m/BTCUSDT/CorePPI_post_5d_simple_hybrid.jsonl,BTCUSDT__post_5.0_simple_hybrid_none_volatile_CorePPI,61.7257,52,v1.0.0,2026-09-10 10:37:59.427983+00:00,signature_archives/combo_10day/B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m/B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m_run34424995310.tar.gz.enc
