شروع,پایان,روز,حالت,coin_composition,signature,members,avg_return,compensation_ratio,survival_rate,avg_correlation,quality_score
2021-04-28,2021-06-14,48,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_none_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOff_15m', 'B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_1h']",2.914492753623188,2.268196721311474,65.21739130434783,-0.1651619675749374,96.29227524798874
2021-06-15,2021-07-13,29,تکی-برتر (ادغام بهتر نبود),BTCUSDT+ETHUSDT,BTCUSDT+ETHUSDT_post_10.0_simple_hybrid_none_volatile_CorePPI,"['B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_1h', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m']",2.3405172413793087,2.0628507295173937,68.96551724137932,-0.2007845366683893,96.78434741857377
2021-07-14,2021-09-13,62,تکی-برتر (ادغام بهتر نبود),SOLUSDT,SOLUSDT_post_10.0_simple_hybrid_newyork_volatile_CorePPI,"['B4Touch+DvgBull_TLpP5-mT3-pR001_LadFib_BufOn_15m', 'B4Touch_TLpP5-mT3-pR001_LadLine_BufOff_15m']",2.1477272727272725,2.367549668874172,63.63636363636363,-0.2808219178082192,97.10536592986018
2021-09-14,2021-09-21,8,تکی-برتر (ادغام بهتر نبود),ETHUSDT,ETHUSDT_pre_5.0_simple_hybrid_london_ny_overlap_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadFib_BufOn_1h', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m', 'B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_1h']",1.8656565656565651,1.7707006369426748,66.66666666666666,-0.20334445713192117,95.06990549090055
2021-09-22,2021-11-02,42,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_newyork_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadFib_BufOn_15m']",2.1102272727272724,2.6978417266187047,63.63636363636363,-0.48500794825843646,98.06764039678202
2021-11-03,2021-11-03,1,تکی-برتر (ادغام بهتر نبود),ETHUSDT,ETHUSDT_pre_5.0_simple_hybrid_london_ny_overlap_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadFib_BufOn_1h', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m', 'B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_1h']",1.8656565656565651,1.7707006369426748,66.66666666666666,-0.20334445713192117,95.06990549090055
2021-11-04,2021-12-09,36,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_pre_5.0_simple_hybrid_none_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOff_30m', 'B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_1h']",2.7879432624113463,2.137608966376089,59.57446808510638,-0.15722029338564406,93.82879012731392
2021-12-10,2022-01-11,33,تکی-برتر (ادغام بهتر نبود),SOLUSDT+XRPUSDT,SOLUSDT+XRPUSDT_post_10.0_simple_hybrid_none_volatile_CPI,"['B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_30m']",1.6949999999999994,2.1189710610932475,70.0,-0.6303449656871327,97.78489416542999
2022-01-12,2022-03-16,64,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_london_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_1h']",1.6946428571428567,2.7416020671834627,66.66666666666666,-0.42901171096762103,97.70366320393659
2022-03-17,2022-05-03,48,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_none_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOff_15m', 'B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_1h']",2.914492753623188,2.268196721311474,65.21739130434783,-0.1651619675749374,96.29227524798874
