آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,ماه‌ها
0.3,1,Core CPI m/m,Neutral,65,37,28,56.9,43.1,1.32,2018-05|2018-07|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-03|2020-05|2020-06|2020-07|2020-09|2020-10|2020-11|2020-12|2021-03|2021-08|2021-11|2021-12|2022-01|2022-03|2022-04|2022-05|2022-06|2022-08|2022-09|2022-10|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-07|2023-08|2023-09|2023-10|2023-11|2024-01|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2025-02|2025-03|2025-04|2025-05|2025-06|2025-09|2025-10|2026-01|2026-02
0.3,1,Core CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2020-08|2021-05|2021-07
0.0,1,PPI m/m,Good,28,17,11,60.7,39.3,1.55,2018-05|2018-09|2019-01|2019-02|2019-10|2019-12|2020-01|2020-03|2020-05|2020-07|2022-01|2022-03|2022-08|2023-01|2023-03|2023-04|2023-05|2023-07|2023-11|2024-01|2024-06|2024-08|2024-10|2025-03|2025-04|2025-05|2025-06|2025-09
0.0,1,PPI m/m,Bad,29,13,16,44.8,55.2,0.81,2018-07|2018-11|2018-12|2019-04|2019-09|2019-11|2020-06|2020-08|2020-09|2020-10|2020-11|2021-03|2021-05|2021-07|2021-08|2021-12|2022-04|2022-10|2022-12|2023-02|2023-08|2023-09|2023-10|2024-05|2024-07|2024-09|2025-02|2026-01|2026-02
0.0,1,PPI m/m,Neutral,11,8,3,72.7,27.3,2.67,2018-10|2019-05|2019-06|2019-07|2019-08|2020-12|2021-11|2022-05|2022-06|2022-09|2025-11
0.1,1,PPI m/m,Neutral,29,18,11,62.1,37.9,1.64,2018-05|2018-07|2018-10|2018-12|2019-01|2019-05|2019-06|2019-07|2019-08|2019-09|2020-01|2020-09|2020-11|2020-12|2021-03|2021-11|2022-05|2022-06|2022-09|2022-12|2023-05|2023-07|2023-08|2024-07|2024-08|2024-09|2024-10|2025-06|2025-11
0.1,1,PPI m/m,Good,20,11,9,55.0,45.0,1.22,2018-09|2019-02|2019-10|2019-12|2020-03|2020-05|2020-07|2022-01|2022-03|2022-08|2023-01|2023-03|2023-04|2023-11|2024-01|2024-06|2025-03|2025-04|2025-05|2025-09
0.1,1,PPI m/m,Bad,19,9,10,47.4,52.6,0.9,2018-11|2019-04|2019-11|2020-06|2020-08|2020-10|2021-05|2021-07|2021-08|2021-12|2022-04|2022-10|2023-02|2023-09|2023-10|2024-05|2025-02|2026-01|2026-02
0.2,1,PPI m/m,Neutral,42,24,18,57.1,42.9,1.33,2018-05|2018-07|2018-10|2018-12|2019-01|2019-02|2019-05|2019-06|2019-07|2019-08|2019-09|2019-11|2019-12|2020-01|2020-09|2020-10|2020-11|2020-12|2021-03|2021-11|2022-01|2022-03|2022-05|2022-06|2022-09|2022-10|2022-12|2023-05|2023-07|2023-08|2023-10|2024-01|2024-05|2024-07|2024-08|2024-09|2024-10|2025-02|2025-06|2025-11|2026-01|2026-02
0.2,1,PPI m/m,Good,15,9,6,60.0,40.0,1.5,2018-09|2019-10|2020-03|2020-05|2020-07|2022-08|2023-01|2023-03|2023-04|2023-11|2024-06|2025-03|2025-04|2025-05|2025-09
0.2,1,PPI m/m,Bad,11,5,6,45.5,54.5,0.83,2018-11|2019-04|2020-06|2020-08|2021-05|2021-07|2021-08|2021-12|2022-04|2023-02|2023-09
0.3,1,PPI m/m,Neutral,49,27,22,55.1,44.9,1.23,2018-05|2018-07|2018-10|2018-12|2019-01|2019-02|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-11|2019-12|2020-01|2020-08|2020-09|2020-10|2020-11|2020-12|2021-03|2021-05|2021-11|2022-01|2022-03|2022-04|2022-05|2022-06|2022-09|2022-10|2022-12|2023-02|2023-05|2023-07|2023-08|2023-09|2023-10|2024-01|2024-05|2024-07|2024-08|2024-09|2024-10|2025-02|2025-03|2025-06|2025-11|2026-01|2026-02
0.3,1,PPI m/m,Good,14,8,6,57.1,42.9,1.33,2018-09|2019-10|2020-03|2020-05|2020-07|2022-08|2023-01|2023-03|2023-04|2023-11|2024-06|2025-04|2025-05|2025-09
0.3,1,PPI m/m,Bad,5,3,2,60.0,40.0,1.5,2018-11|2020-06|2021-07|2021-08|2021-12
0.0,1,Core PPI m/m,Neutral,12,5,7,41.7,58.3,0.71,2018-05|2018-10|2019-06|2020-06|2021-03|2022-01|2022-10|2023-01|2023-05|2023-09|2024-10|2025-02
0.0,1,Core PPI m/m,Bad,26,13,13,50.0,50.0,1.0,2018-07|2018-11|2018-12|2019-02|2019-04|2019-07|2019-09|2019-11|2020-08|2020-09|2020-10|2021-05|2021-07|2021-08|2021-12|2022-04|2022-09|2022-12|2023-02|2023-08|2023-10|2024-05|2024-07|2024-09|2026-01|2026-02
0.0,1,Core PPI m/m,Good,30,20,10,66.7,33.3,2.0,2018-09|2019-01|2019-05|2019-08|2019-10|2019-12|2020-01|2020-03|2020-05|2020-07|2020-11|2020-12|2021-11|2022-03|2022-05|2022-06|2022-08|2023-03|2023-04|2023-07|2023-11|2024-01|2024-06|2024-08|2025-03|2025-04|2025-05|2025-06|2025-09|2025-11
0.1,1,Core PPI m/m,Neutral,29,14,15,48.3,51.7,0.93,2018-05|2018-07|2018-10|2019-02|2019-04|2019-05|2019-06|2019-07|2019-09|2019-11|2020-01|2020-06|2020-11|2020-12|2021-03|2021-11|2022-01|2022-06|2022-10|2023-01|2023-05|2023-07|2023-08|2023-09|2023-10|2024-09|2024-10|2025-02|2025-11
0.1,1,Core PPI m/m,Good,22,15,7,68.2,31.8,2.14,2018-09|2019-01|2019-08|2019-10|2019-12|2020-03|2020-05|2020-07|2022-03|2022-05|2022-08|2023-03|2023-04|2023-11|2024-01|2024-06|2024-08|2025-03|2025-04|2025-05|2025-06|2025-09
0.1,1,Core PPI m/m,Bad,17,9,8,52.9,47.1,1.13,2018-11|2018-12|2020-08|2020-09|2020-10|2021-05|2021-07|2021-08|2021-12|2022-04|2022-09|2022-12|2023-02|2024-05|2024-07|2026-01|2026-02
0.2,1,Core PPI m/m,Neutral,43,22,21,51.2,48.8,1.05,2018-05|2018-07|2018-10|2018-12|2019-02|2019-04|2019-05|2019-06|2019-07|2019-09|2019-11|2020-01|2020-05|2020-06|2020-09|2020-10|2020-11|2020-12|2021-03|2021-11|2022-01|2022-05|2022-06|2022-08|2022-09|2022-10|2022-12|2023-01|2023-02|2023-05|2023-07|2023-08|2023-09|2023-10|2024-01|2024-07|2024-08|2024-09|2024-10|2025-02|2025-06|2025-11|2026-01
0.2,1,Core PPI m/m,Good,16,13,3,81.2,18.8,4.33,2018-09|2019-01|2019-08|2019-10|2019-12|2020-03|2020-07|2022-03|2023-03|2023-04|2023-11|2024-06|2025-03|2025-04|2025-05|2025-09
0.2,1,Core PPI m/m,Bad,9,3,6,33.3,66.7,0.5,2018-11|2020-08|2021-05|2021-07|2021-08|2021-12|2022-04|2024-05|2026-02
0.3,1,Core PPI m/m,Neutral,49,25,24,51.0,49.0,1.04,2018-05|2018-07|2018-10|2018-11|2018-12|2019-02|2019-04|2019-05|2019-06|2019-07|2019-09|2019-11|2020-01|2020-05|2020-06|2020-09|2020-10|2020-11|2020-12|2021-03|2021-05|2021-11|2021-12|2022-01|2022-05|2022-06|2022-08|2022-09|2022-10|2022-12|2023-01|2023-02|2023-05|2023-07|2023-08|2023-09|2023-10|2023-11|2024-01|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2025-02|2025-06|2025-11|2026-01
0.3,1,Core PPI m/m,Good,14,12,2,85.7,14.3,6.0,2018-09|2019-01|2019-08|2019-10|2019-12|2020-03|2020-07|2022-03|2023-03|2023-04|2025-03|2025-04|2025-05|2025-09
0.3,1,Core PPI m/m,Bad,5,1,4,20.0,80.0,0.25,2020-08|2021-07|2021-08|2022-04|2026-02
