آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,ماه‌ها
0.0,1,Core CPI m/m,Bad,23,15,8,65.2,34.8,1.88,2018-01|2018-02|2018-06|2019-07|2019-08|2020-07|2020-08|2020-12|2021-04|2021-05|2021-07|2021-11|2022-01|2022-02|2022-05|2022-06|2022-09|2022-10|2023-09|2024-02|2024-04|2024-09|2024-10
0.0,1,Core CPI m/m,Good,29,20,9,69.0,31.0,2.22,2018-09|2018-10|2019-03|2019-04|2019-05|2019-06|2019-10|2020-01|2020-04|2020-05|2020-06|2020-11|2021-02|2021-03|2021-08|2021-09|2022-04|2022-11|2022-12|2023-07|2023-11|2024-07|2025-01|2025-03|2025-04|2025-05|2025-06|2025-10|2026-01
0.0,1,Core CPI m/m,Neutral,21,13,8,61.9,38.1,1.62,2018-11|2019-01|2020-02|2020-03|2020-10|2021-01|2021-12|2022-03|2023-01|2023-02|2023-04|2023-06|2023-08|2023-10|2023-12|2024-01|2024-05|2024-11|2024-12|2025-08|2026-02
0.1,1,Core CPI m/m,Neutral,54,36,18,66.7,33.3,2.0,2018-01|2018-02|2018-06|2018-09|2018-10|2018-11|2019-01|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-10|2020-01|2020-02|2020-03|2020-06|2020-07|2020-10|2020-12|2021-01|2021-03|2021-04|2021-12|2022-01|2022-02|2022-03|2022-06|2022-12|2023-01|2023-02|2023-04|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-05|2024-07|2024-09|2024-10|2024-11|2024-12|2025-01|2025-03|2025-05|2025-08|2025-10|2026-01|2026-02
0.1,1,Core CPI m/m,Good,10,8,2,80.0,20.0,4.0,2020-04|2020-05|2020-11|2021-02|2021-08|2021-09|2022-04|2022-11|2025-04|2025-06
0.1,1,Core CPI m/m,Bad,9,4,5,44.4,55.6,0.8,2020-08|2021-05|2021-07|2021-11|2022-05|2022-09|2022-10|2024-02|2024-04
0.2,1,Core CPI m/m,Neutral,69,46,23,66.7,33.3,2.0,2018-01|2018-02|2018-06|2018-09|2018-10|2018-11|2019-01|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-10|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-08|2021-09|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-10|2022-11|2022-12|2023-01|2023-02|2023-04|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-04|2024-05|2024-07|2024-09|2024-10|2024-11|2024-12|2025-01|2025-03|2025-04|2025-05|2025-06|2025-08|2025-10|2026-01|2026-02
0.2,1,Core CPI m/m,Bad,4,2,2,50.0,50.0,1.0,2020-08|2021-05|2021-07|2022-09
0.3,1,Core CPI m/m,Neutral,70,46,24,65.7,34.3,1.92,2018-01|2018-02|2018-06|2018-09|2018-10|2018-11|2019-01|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-10|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-08|2021-09|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-04|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-04|2024-05|2024-07|2024-09|2024-10|2024-11|2024-12|2025-01|2025-03|2025-04|2025-05|2025-06|2025-08|2025-10|2026-01|2026-02
0.3,1,Core CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2020-08|2021-05|2021-07
0.0,1,PPI m/m,Good,26,19,7,73.1,26.9,2.71,2018-01|2018-09|2019-01|2019-03|2019-10|2020-01|2020-03|2020-05|2020-07|2021-01|2022-01|2022-03|2022-11|2023-01|2023-04|2023-06|2023-07|2023-11|2024-01|2024-04|2024-10|2025-01|2025-03|2025-04|2025-05|2025-06
0.0,1,PPI m/m,Neutral,13,7,6,53.8,46.2,1.17,2018-02|2018-10|2019-05|2019-06|2019-07|2019-08|2020-12|2021-11|2022-05|2022-06|2022-09|2023-12|2024-11
0.0,1,PPI m/m,Bad,33,21,12,63.6,36.4,1.75,2018-06|2018-11|2019-04|2020-02|2020-04|2020-06|2020-08|2020-10|2020-11|2021-02|2021-03|2021-04|2021-05|2021-07|2021-08|2021-09|2021-12|2022-02|2022-04|2022-10|2022-12|2023-02|2023-08|2023-09|2023-10|2024-02|2024-05|2024-07|2024-09|2024-12|2025-08|2026-01|2026-02
0.1,1,PPI m/m,Good,19,16,3,84.2,15.8,5.33,2018-01|2018-09|2019-10|2020-03|2020-05|2020-07|2021-01|2022-01|2022-03|2022-11|2023-01|2023-04|2023-06|2023-11|2024-01|2025-01|2025-03|2025-04|2025-05
0.1,1,PPI m/m,Neutral,28,14,14,50.0,50.0,1.0,2018-02|2018-10|2019-01|2019-03|2019-05|2019-06|2019-07|2019-08|2020-01|2020-04|2020-11|2020-12|2021-03|2021-09|2021-11|2022-05|2022-06|2022-09|2022-12|2023-07|2023-08|2023-12|2024-04|2024-07|2024-09|2024-10|2024-11|2025-06
0.1,1,PPI m/m,Bad,25,17,8,68.0,32.0,2.12,2018-06|2018-11|2019-04|2020-02|2020-06|2020-08|2020-10|2021-02|2021-04|2021-05|2021-07|2021-08|2021-12|2022-02|2022-04|2022-10|2023-02|2023-09|2023-10|2024-02|2024-05|2024-12|2025-08|2026-01|2026-02
0.2,1,PPI m/m,Good,12,12,0,100.0,0.0,inf,2018-01|2018-09|2019-10|2020-03|2020-05|2020-07|2023-01|2023-04|2023-11|2025-03|2025-04|2025-05
0.2,1,PPI m/m,Neutral,44,23,21,52.3,47.7,1.1,2018-02|2018-06|2018-10|2019-01|2019-03|2019-05|2019-06|2019-07|2019-08|2020-01|2020-04|2020-10|2020-11|2020-12|2021-01|2021-03|2021-09|2021-11|2022-01|2022-03|2022-05|2022-06|2022-09|2022-10|2022-11|2022-12|2023-06|2023-07|2023-08|2023-10|2023-12|2024-01|2024-02|2024-04|2024-05|2024-07|2024-09|2024-10|2024-11|2024-12|2025-01|2025-06|2026-01|2026-02
0.2,1,PPI m/m,Bad,16,12,4,75.0,25.0,3.0,2018-11|2019-04|2020-02|2020-06|2020-08|2021-02|2021-04|2021-05|2021-07|2021-08|2021-12|2022-02|2022-04|2023-02|2023-09|2025-08
0.3,1,PPI m/m,Good,11,11,0,100.0,0.0,inf,2018-01|2018-09|2019-10|2020-03|2020-05|2020-07|2023-01|2023-04|2023-11|2025-04|2025-05
0.3,1,PPI m/m,Neutral,51,30,21,58.8,41.2,1.43,2018-02|2018-06|2018-10|2019-01|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2020-01|2020-04|2020-08|2020-10|2020-11|2020-12|2021-01|2021-03|2021-05|2021-09|2021-11|2022-01|2022-03|2022-04|2022-05|2022-06|2022-09|2022-10|2022-11|2022-12|2023-02|2023-06|2023-07|2023-08|2023-09|2023-10|2023-12|2024-01|2024-02|2024-04|2024-05|2024-07|2024-09|2024-10|2024-11|2024-12|2025-01|2025-03|2025-06|2026-01|2026-02
0.3,1,PPI m/m,Bad,10,6,4,60.0,40.0,1.5,2018-11|2020-02|2020-06|2021-02|2021-04|2021-07|2021-08|2021-12|2022-02|2025-08
0.0,1,Core PPI m/m,Good,28,20,8,71.4,28.6,2.5,2018-01|2018-09|2019-01|2019-03|2019-05|2019-08|2019-10|2020-01|2020-03|2020-05|2020-07|2020-11|2020-12|2021-11|2022-03|2022-05|2022-06|2022-11|2023-04|2023-07|2023-11|2023-12|2024-01|2025-01|2025-03|2025-04|2025-05|2025-06
0.0,1,Core PPI m/m,Bad,30,20,10,66.7,33.3,2.0,2018-02|2018-06|2018-11|2019-04|2019-07|2020-02|2020-04|2020-08|2020-10|2021-02|2021-04|2021-05|2021-07|2021-08|2021-09|2021-12|2022-02|2022-04|2022-09|2022-12|2023-02|2023-08|2023-10|2024-02|2024-05|2024-07|2024-09|2025-08|2026-01|2026-02
0.0,1,Core PPI m/m,Neutral,14,7,7,50.0,50.0,1.0,2018-10|2019-06|2020-06|2021-01|2021-03|2022-01|2022-10|2023-01|2023-06|2023-09|2024-04|2024-10|2024-11|2024-12
0.1,1,Core PPI m/m,Good,20,16,4,80.0,20.0,4.0,2018-01|2018-09|2019-01|2019-08|2019-10|2020-03|2020-05|2020-07|2022-03|2022-05|2022-11|2023-04|2023-11|2023-12|2024-01|2025-01|2025-03|2025-04|2025-05|2025-06
0.1,1,Core PPI m/m,Bad,23,16,7,69.6,30.4,2.29,2018-02|2018-11|2020-02|2020-04|2020-08|2020-10|2021-02|2021-04|2021-05|2021-07|2021-08|2021-12|2022-02|2022-04|2022-09|2022-12|2023-02|2024-02|2024-05|2024-07|2025-08|2026-01|2026-02
0.1,1,Core PPI m/m,Neutral,29,15,14,51.7,48.3,1.07,2018-06|2018-10|2019-03|2019-04|2019-05|2019-06|2019-07|2020-01|2020-06|2020-11|2020-12|2021-01|2021-03|2021-09|2021-11|2022-01|2022-06|2022-10|2023-01|2023-06|2023-07|2023-08|2023-09|2023-10|2024-04|2024-09|2024-10|2024-11|2024-12
0.2,1,Core PPI m/m,Good,14,13,1,92.9,7.1,13.0,2018-01|2018-09|2019-01|2019-08|2019-10|2020-03|2020-07|2022-03|2022-11|2023-04|2023-11|2025-03|2025-04|2025-05
0.2,1,Core PPI m/m,Neutral,43,24,19,55.8,44.2,1.26,2018-02|2018-06|2018-10|2019-03|2019-04|2019-05|2019-06|2019-07|2020-01|2020-04|2020-05|2020-06|2020-10|2020-11|2020-12|2021-01|2021-03|2021-09|2021-11|2022-01|2022-05|2022-06|2022-09|2022-10|2022-12|2023-01|2023-02|2023-06|2023-07|2023-08|2023-09|2023-10|2023-12|2024-01|2024-04|2024-07|2024-09|2024-10|2024-11|2024-12|2025-01|2025-06|2026-01
0.2,1,Core PPI m/m,Bad,15,10,5,66.7,33.3,2.0,2018-11|2020-02|2020-08|2021-02|2021-04|2021-05|2021-07|2021-08|2021-12|2022-02|2022-04|2024-02|2024-05|2025-08|2026-02
0.3,1,Core PPI m/m,Good,12,11,1,91.7,8.3,11.0,2018-01|2018-09|2019-01|2019-08|2019-10|2020-03|2020-07|2022-03|2023-04|2025-03|2025-04|2025-05
0.3,1,Core PPI m/m,Neutral,50,29,21,58.0,42.0,1.38,2018-02|2018-06|2018-10|2018-11|2019-03|2019-04|2019-05|2019-06|2019-07|2020-01|2020-02|2020-04|2020-05|2020-06|2020-10|2020-11|2020-12|2021-01|2021-03|2021-05|2021-09|2021-11|2021-12|2022-01|2022-05|2022-06|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-04|2024-05|2024-07|2024-09|2024-10|2024-11|2024-12|2025-01|2025-06|2026-01
